analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
matched_depth_genrich	genome_wide	SaCas9_NNGRRT	stroke_WT	10565	21599	0.48914301588036485	0.0	0
matched_depth_genrich	genome_wide	SpCas9_NGG	homeostatic	8494	21599	0.39325894717348026	-0.017593407102180658	904
matched_depth_genrich	genome_wide	SpCas9_NGG	PP_control	10017	21599	0.4637714709014306	-0.0020834297884161357	141
matched_depth_genrich	genome_wide	SpCas9_NGG	PL_acute_LPS	10355	21599	0.47942034353442287	-0.0018056391499606805	147
matched_depth_genrich	genome_wide	SpCas9_NGG	LL_tolerized	10277	21599	0.4758090652345016	-4.629843974257586e-05	123
matched_depth_genrich	genome_wide	SpCas9_NGG	sham_WT	10252	21599	0.47465160424093705	0.005833603407565113	286
matched_depth_genrich	genome_wide	SpCas9_NGG	stroke_WT	11157	21599	0.5165516922079726	0.0	0
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	homeostatic	8448	21599	0.39112921894532154	-0.01726931802398257	887
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	PP_control	9979	21599	0.46201213019121257	-0.0027316079448122532	155
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	PL_acute_LPS	10335	21599	0.4784943747395713	-0.001805639149960625	149
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	LL_tolerized	10254	21599	0.47474420112042226	9.259687948520723e-05	126
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	sham_WT	10232	21599	0.4737256354460855	0.006203990925505831	290
matched_depth_genrich	genome_wide	CjCas9_NNNVRYM	stroke_WT	11133	21599	0.5154405296541507	0.0	0
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	homeostatic	8378	21599	0.3878883281633409	-0.01745451178295293	887
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	PP_control	9939	21599	0.4601601926015093	-0.0028705032640400363	148
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	PL_acute_LPS	10294	21599	0.47659613871012546	-0.00203713134867356	152
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	LL_tolerized	10209	21599	0.4726607713320061	-0.0007407750358812693	136
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	sham_WT	10210	21599	0.4727070697717487	0.0061113940460206795	284
